comentario,usuario,fecha,likes,video_id
EL TIEMPO TE DIO LA RAZON AR PRESIDENTE  NO ESTABAS LUCHANDO CON PARTIDOS POLITICOS Q QUIEREN CONSTRUIR UN PAIS SON MAFIAS Q DEZTROZAN EL PAIS Q PENA POR LA GENTE Q TIENE CONOCIMIENTO  Y UTILICE SU CONOCIMIETO PARA DIZTORCIONAR O CONFUNDIR MIS PESPETOS POR NO VENDERSE COMO OTROS S Q SI SE VENDEN PERO SI DE ESO SE TRATA DESTRUIR  FORMAR CIUDADANS SIN  VALORES DONDE EL PAPEL TIENE MAS VALOR Q KA VIDA KKK,@RoneldavidMaquinllashag,2024-03-02T14:43:23Z,2,lfG8PiImmsM
El golpe de estado lo cometió el congreso prohibiendo el REFERENDUM LA CUAL ES EL DERECHO DE TODOS LOS PERUANOS.,@rubenflores4344,2024-02-06T01:10:25Z,0,lfG8PiImmsM
El golpe de estado lo cometió el congreso prohibiendo el REFERENDUM LA CUAL ES EL DERECHO DE TODOS LOS PERUANOS.,@rubenflores4344,2024-02-06T01:10:19Z,0,lfG8PiImmsM
El golpe de estado lo cometió el congreso prohibiendo el REFERENDUM LA CUAL ES EL DERECHO DE TODOS LOS PERUANOS.,@rubenflores4344,2024-02-06T01:10:03Z,0,lfG8PiImmsM
Ni leer sabe está bestia por DIOS😖😖,@aldoComercial-xl7gt,2024-02-05T20:05:01Z,1,lfG8PiImmsM
En este mensaje lee los chistes de condorito el tiro le salio por la culata EL VIVO,@poncianosantamariamallqui4014,2024-01-25T16:34:36Z,2,lfG8PiImmsM
El inicio del fin de Pedro Castillo 😮,@gianfrancohuisapichihua8044,2024-01-25T01:00:09Z,1,lfG8PiImmsM
"Minuto 6 con 50
Empieza la conga",@mirkojimenezruiz5744,2024-01-19T18:59:48Z,0,lfG8PiImmsM
Como una persona q no sabe mucho de leyes lo hayan dejado pisar el palito para meterlo a la carcel quien dwberia estar preso es anibal torres y betsy chavez,@lanochedelasestrellas9211,2024-01-15T18:34:51Z,0,lfG8PiImmsM
Como temblaba pobre.,@SephirotKnight,2024-01-05T19:13:21Z,0,lfG8PiImmsM
Caníbal y la Betsy le hicieron meter la pata al pollo 😅,@gianfrancohuisapichihua8044,2024-01-02T01:11:21Z,1,lfG8PiImmsM
😂😂😂😂,@alejandrog5840,2023-12-25T22:17:27Z,0,lfG8PiImmsM
En este mensaje ya adelanta del colchon bolzas plasticas baldes a mexico con millones,@poncianosantamariamallqui4014,2023-12-24T17:16:55Z,0,lfG8PiImmsM
Mal jugado pipipipi,@mickyvilla8829,2023-12-24T14:39:00Z,0,lfG8PiImmsM
JAJAJAJAJAJAJJAJA HASTA PARA ESO ES BRUTO LA BESTIA ESTA 😂 DA PENA,@christianesteban9551,2023-12-21T21:38:28Z,1,lfG8PiImmsM
Bravo mi presidente castillo 🇵🇪🇵🇪🇵🇪🇵🇪,@saliendoderutina9279,2023-12-09T19:03:22Z,1,lfG8PiImmsM
"Cuando termina de leer se escucha al fondo ""Ay no"".",@JAMESBOND-se5iw,2023-12-08T05:31:41Z,0,lfG8PiImmsM
Solo se vaco que gobierno más inepto.,@Alike2022,2023-12-08T03:05:23Z,1,lfG8PiImmsM
Hoy se cumple un año de esta joya jajaja que se pudra en la cárcel ese delincuente,@lDarthTrader,2023-12-07T20:44:32Z,2,lfG8PiImmsM
XDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD 👉,@peterdanielxd2166,2023-12-07T18:33:46Z,0,lfG8PiImmsM
TVperu no representa al pueblo estan del lado de los grande abusibos.....,@josimarchirio,2023-11-10T20:09:31Z,0,lfG8PiImmsM
Alguien sabe si término el cuento del pollo?,@johndream6126,2023-11-09T20:45:21Z,2,lfG8PiImmsM
Claramente le tendieron una trampa,@HowardSalas,2023-11-02T03:18:36Z,1,lfG8PiImmsM
VOTEMOS A LA GENTE DEL CONGRESO ME UNO ALA TURBA COMPARE,@MostWantedHez,2023-11-01T18:23:08Z,0,lfG8PiImmsM
delincuente,@florencioobregon7624,2023-10-23T14:06:11Z,2,lfG8PiImmsM
3 doritos despues....detenido,@huguisvas3648,2023-10-20T16:56:09Z,1,lfG8PiImmsM
Si la cagado al país peruana que siga en.carsel,@AlfredoAguilar-lp5md,2023-10-19T15:51:26Z,2,lfG8PiImmsM
Mi pedrito era tiempo  asi seabla  cholo era tiempo mi señor,@MaxBustamante-qz7dl,2023-10-04T08:38:30Z,0,lfG8PiImmsM
Asi seabla pedrito,@MaxBustamante-qz7dl,2023-10-04T08:31:20Z,0,lfG8PiImmsM
Que bueno que este sujeto nefasto como presidente este preso aya debe de estará el su familia y amigos quienes se llenaron los bolsillos del dinero del Perú 🇵🇪,@jose51790,2023-10-02T23:21:16Z,0,lfG8PiImmsM
FARSANTE,@cesarterrones8286,2023-09-30T23:05:22Z,0,lfG8PiImmsM
El más ladrón,@carlossandoval8103,2023-09-29T11:17:18Z,0,lfG8PiImmsM
se nota el nerviosismo de ese primate a leguas se veía que no tenia idea de lo que iba a ocurrir después estoy seguro que quien le aconsejo leer eso solo hizo pensando que porque a Vizcarra le funciono también al mono con sombrero le iba a funcionar pero se olvidaron de algo muy importante Vizcarra tenia el apoyo de casi todo el pais cuando dio su golpe de estado y técnicamente todo lima salió a ver que se cierre ese congreso mientras que el burro con sombrero no tenia respaldo de nadie los que lo apoyaban ya eran una minoría y mas del 70%  del pais estaba en su contra por diversas razones por primera vez se actuó como se debía ante un burdo intento de dictadura ironías del destino el burro con sombrero acabo junto a su ahora vecino Fujimori será una historia digna de contar a los nietos.,@KingMasterDark,2023-09-20T14:51:27Z,1,lfG8PiImmsM
Le faltó Convicción Política y un buen Instructor Militar y Asesor Militar y con eso Cerraba ese Congreso delincuencial,@eduardocordovarios3161,2023-09-05T03:52:43Z,0,lfG8PiImmsM
Taba drogado al votar por el😢,@alessandroyupanqui9571,2023-09-01T21:15:12Z,10,lfG8PiImmsM
Con ese mensaje el solito acabo con su gobierno,@ignaciocuadradob.238,2023-08-16T17:20:18Z,1,lfG8PiImmsM
Le temblaba la mano JAJAJJA XD,@flex_sway4219,2023-08-07T09:24:07Z,1,lfG8PiImmsM
Pipiipiipip😢,@chenko11,2023-08-01T19:42:40Z,0,lfG8PiImmsM
Ya llegará el momento en que nuestro país se deshaga de todos los lastres que lo han mantenido empobrecido y desindustrializado. Gracias Presidente Castillo por intentarlo.,@AWorldOfLanguages,2023-07-28T05:15:47Z,0,lfG8PiImmsM
Viva el poeblo PERUANO livre e independente: Liberdade imediata para o presidente PEDRO CASTILLO 🇨🇭🇵🇹🇵🇪✌️✌️,@luisfilipe316,2023-07-27T20:08:56Z,0,lfG8PiImmsM
Jamás sabremos si el pollo estaba vivo o estaba muerto. 😢,@franciscobleheri5139,2023-07-25T04:56:36Z,1,lfG8PiImmsM
DIOS GRACIAS!!! NOS LIBRAMOS POR UN PELITO DEL COMUNISMO EMPOBRECEDOR.. 🙏🙏🙏🇵🇪🇵🇪,@gloriarudyghiglinorosales8835,2023-07-21T21:42:11Z,0,lfG8PiImmsM
jajajajajjajajajajajjajaja,@rikycisneros4607,2023-07-20T22:01:34Z,0,lfG8PiImmsM
Es un hecho que las pruebas son ya contundentes  Castillo Nunca mas en el Gobierno del Perú.,@felixloza776,2023-07-18T03:56:14Z,1,lfG8PiImmsM
Solo se vacooo que  bueno por bruto en hora buena,@clarisapintomendoza6583,2023-07-13T00:31:30Z,1,lfG8PiImmsM
El unico presidente que lucho contra el clasismo y la oligarquía LIMEÑA POR LOS APROFUJIMORISTAS que tienen dominado y saqueado...a las tias de los conos y las pitucas de san borjamolina y surco...,@IndustriasBriandPerú,2023-07-05T20:15:10Z,0,lfG8PiImmsM
Agua racimada prosor prosor,@marce1555,2023-06-25T19:49:19Z,0,lfG8PiImmsM
Este es el Presidente Comunismo rumbo al hambre y escases de trabajo este tipo dePersonajes debe ser castigado cadena perpetua yquitarle todo lo que a robado.,@martinquerhuayo9213,2023-06-24T22:01:33Z,3,lfG8PiImmsM
Lo hicieron leer está claro.,@aguatv9046,2023-06-24T03:16:52Z,0,lfG8PiImmsM
